,hyperparameters,num_features,mean_accuracy,std_accuracy,train_accuracy,test_accuracy
2304,"penalty: l1, C: 1, solver: liblinear",117,0.785884257,0.036338086,0.892944039,0.760869565
2307,"penalty: l2, C: 0.01, solver: liblinear",117,0.793189606,0.065969222,0.861313869,0.760869565
2323,"penalty: l1, C: 0.1, solver: liblinear",118,0.771273558,0.065358776,0.851581509,0.760869565
2343,"penalty: l1, C: 0.1, solver: liblinear",119,0.771273558,0.065358776,0.851581509,0.760869565
2366,"penalty: l2, C: 0.001, solver: liblinear",120,0.783433276,0.04318107,0.807785888,0.760869565
2367,"penalty: l2, C: 0.01, solver: liblinear",120,0.812749857,0.069251996,0.878345499,0.760869565
2374,"penalty: l1, C: 1, solver: saga",120,0.710546354,0.046278959,0.759124088,0.760869565
2377,"penalty: l2, C: 0.01, solver: saga",120,0.712973539,0.047380336,0.759124088,0.760869565
2378,"penalty: l2, C: 0.1, solver: saga",120,0.712973539,0.047875109,0.759124088,0.760869565
2379,"penalty: l2, C: 1, solver: saga",120,0.710546354,0.046278959,0.759124088,0.760869565
2386,"penalty: l2, C: 0.001, solver: liblinear",121,0.790810013,0.064782577,0.822384428,0.760869565
2388,"penalty: l2, C: 0.1, solver: liblinear",121,0.802993528,0.051759389,0.888077859,0.760869565
2393,"penalty: l1, C: 0.1, solver: saga",121,0.70811917,0.045020056,0.763990268,0.760869565
2396,"penalty: l2, C: 0.001, solver: saga",121,0.710546354,0.046278959,0.763990268,0.760869565
2407,"penalty: l2, C: 0.01, solver: liblinear",122,0.812749857,0.066118611,0.878345499,0.760869565
2408,"penalty: l2, C: 0.1, solver: liblinear",122,0.800518751,0.050088808,0.888077859,0.760869565
2413,"penalty: l1, C: 0.1, solver: saga",122,0.70811917,0.045020056,0.763990268,0.760869565
2416,"penalty: l2, C: 0.001, solver: saga",122,0.710546354,0.046278959,0.763990268,0.760869565
2427,"penalty: l2, C: 0.01, solver: liblinear",123,0.815177042,0.068795117,0.878345499,0.760869565
2428,"penalty: l2, C: 0.1, solver: liblinear",123,0.800518751,0.050088808,0.888077859,0.760869565
2433,"penalty: l1, C: 0.1, solver: saga",123,0.70811917,0.045020056,0.766423358,0.760869565
2436,"penalty: l2, C: 0.001, solver: saga",123,0.712973539,0.047875109,0.768856448,0.760869565
2447,"penalty: l2, C: 0.01, solver: liblinear",124,0.820031411,0.067958878,0.878345499,0.760869565
2448,"penalty: l2, C: 0.1, solver: liblinear",124,0.807847896,0.054458613,0.890510949,0.760869565
2453,"penalty: l1, C: 0.1, solver: saga",124,0.70811917,0.045020056,0.766423358,0.760869565
2456,"penalty: l2, C: 0.001, solver: saga",124,0.710546354,0.046278959,0.766423358,0.760869565
2466,"penalty: l2, C: 0.001, solver: liblinear",125,0.788335237,0.059547293,0.822384428,0.760869565
2467,"penalty: l2, C: 0.01, solver: liblinear",125,0.822458595,0.064365772,0.878345499,0.760869565
2468,"penalty: l2, C: 0.1, solver: liblinear",125,0.807847896,0.054458613,0.890510949,0.760869565
2473,"penalty: l1, C: 0.1, solver: saga",125,0.705691986,0.049178391,0.768856448,0.760869565
2474,"penalty: l1, C: 1, solver: saga",125,0.712973539,0.047875109,0.771289538,0.760869565
2476,"penalty: l2, C: 0.001, solver: saga",125,0.712973539,0.047875109,0.771289538,0.760869565
2477,"penalty: l2, C: 0.01, solver: saga",125,0.712973539,0.047875109,0.771289538,0.760869565
2478,"penalty: l2, C: 0.1, solver: saga",125,0.712973539,0.047875109,0.771289538,0.760869565
2479,"penalty: l2, C: 1, solver: saga",125,0.712973539,0.047875109,0.771289538,0.760869565
2506,"penalty: l2, C: 0.001, solver: liblinear",127,0.788311441,0.061574514,0.815085158,0.760869565
2508,"penalty: l2, C: 0.1, solver: liblinear",127,0.822434799,0.05319081,0.890510949,0.760869565
2514,"penalty: l1, C: 1, solver: saga",127,0.71057015,0.052388205,0.776155718,0.760869565
2517,"penalty: l2, C: 0.01, solver: saga",127,0.71057015,0.052388205,0.776155718,0.760869565
2518,"penalty: l2, C: 0.1, solver: saga",127,0.71057015,0.052388205,0.776155718,0.760869565
2519,"penalty: l2, C: 1, solver: saga",127,0.71057015,0.052388205,0.776155718,0.760869565
2523,"penalty: l1, C: 0.1, solver: liblinear",128,0.768893965,0.065494412,0.849148418,0.760869565
2526,"penalty: l2, C: 0.001, solver: liblinear",128,0.790738626,0.063895478,0.822384428,0.760869565
2527,"penalty: l2, C: 0.01, solver: liblinear",128,0.798091567,0.054083,0.861313869,0.760869565
2528,"penalty: l2, C: 0.1, solver: liblinear",128,0.807824101,0.064428963,0.888077859,0.760869565
2534,"penalty: l1, C: 1, solver: saga",128,0.71057015,0.052388205,0.773722628,0.760869565
2536,"penalty: l2, C: 0.001, solver: saga",128,0.71057015,0.052388205,0.773722628,0.760869565
2537,"penalty: l2, C: 0.01, solver: saga",128,0.71057015,0.052388205,0.773722628,0.760869565
2538,"penalty: l2, C: 0.1, solver: saga",128,0.71057015,0.052388205,0.773722628,0.760869565
2539,"penalty: l2, C: 1, solver: saga",128,0.71057015,0.052388205,0.773722628,0.760869565
2567,"penalty: l2, C: 0.01, solver: liblinear",130,0.807752713,0.067140765,0.866180049,0.760869565
2587,"penalty: l2, C: 0.01, solver: liblinear",131,0.807752713,0.067140765,0.866180049,0.760869565
2627,"penalty: l2, C: 0.01, solver: liblinear",133,0.800494955,0.074072128,0.866180049,0.760869565
2636,"penalty: l2, C: 0.001, solver: saga",133,0.717827908,0.044628344,0.776155718,0.760869565
2637,"penalty: l2, C: 0.01, solver: saga",133,0.715400723,0.043727564,0.776155718,0.760869565
2638,"penalty: l2, C: 0.1, solver: saga",133,0.717827908,0.044628344,0.776155718,0.760869565
